time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0,"(0, 0, 0)","(0.175328, 0.984194, 0.024961)","(-0.557035, -0.806229, -0.199265)","(0.637556, -0.591839, 0.493204)","(-0.076139, -0.638692, 0.765686)","(0.172609, 0.516123, 0.838942)","(-0.15455, -0.976201, 0.152135)","(0.08768, -0.894321, 0.43875)","(-0.367021, -0.800148, -0.474405)","(0.057822, -0.688135, -0.723275)"
0.060514,"(0.004266, 0.016529, 0.007267)","(0.180871, 0.983236, 0.023068)","(-0.594242, -0.781655, -0.18945)","(0.645922, -0.575244, 0.501876)","(-0.083813, -0.559741, 0.824418)","(0.153917, 0.437623, 0.885887)","(-0.167158, -0.979021, 0.116513)","(0.05529, -0.919088, 0.390154)","(-0.363973, -0.822199, -0.437621)","(0.079008, -0.70993, -0.699827)"
0.097492,"(0.004968, 0.037113, 0.012524)","(0.179592, 0.983452, 0.023868)","(-0.602249, -0.777159, -0.182539)","(0.640933, -0.626218, 0.443909)","(-0.123227, -0.431459, 0.893677)","(0.130005, 0.262775, 0.956059)","(-0.14839, -0.964471, 0.21858)","(0.017438, -0.945665, 0.324676)","(-0.370792, -0.797884, -0.475284)","(0.135783, -0.737898, -0.661113)"
0.135401,"(0.004051, 0.047791, 0.015337)","(0.176084, 0.984031, 0.026009)","(-0.599169, -0.780888, -0.176666)","(0.638691, -0.672702, 0.373558)","(-0.165096, -0.326482, 0.930673)","(0.112394, 0.110542, 0.987496)","(-0.15424, -0.953919, 0.257389)","(0.000509, -0.956793, 0.29077)","(-0.357231, -0.800966, -0.480457)","(0.197553, -0.74374, -0.638611)"
0.221226,"(0.002054, 0.055662, 0.017919)","(0.170281, 0.984955, 0.029472)","(-0.59301, -0.787557, -0.167608)","(0.641085, -0.715598, 0.277364)","(-0.218804, -0.205382, 0.95391)","(0.096012, -0.063725, 0.993338)","(-0.16308, -0.93879, 0.303443)","(-0.010717, -0.965414, 0.260503)","(-0.327563, -0.807702, -0.490225)","(0.274215, -0.739392, -0.614904)"
0.248684,"(-0.00637, 0.0558, 0.022579)","(0.14852, 0.988065, 0.040865)","(-0.58561, -0.799136, -0.135803)","(0.675183, -0.7368, 0.035407)","(-0.341013, 0.061524, 0.938043)","(0.079523, -0.415959, 0.9059)","(-0.203608, -0.881668, 0.425682)","(-0.019014, -0.97901, 0.202925)","(-0.190042, -0.824056, -0.533682)","(0.436191, -0.700973, -0.564247)"
0.301809,"(-0.010482, 0.050153, 0.024058)","(0.139004, 0.989273, 0.044907)","(-0.587864, -0.799403, -0.123979)","(0.692139, -0.721146, -0.02987)","(-0.371032, 0.131871, 0.919209)","(0.082394, -0.494626, 0.865192)","(-0.222252, -0.86197, 0.455644)","(-0.019155, -0.981832, 0.188782)","(-0.129624, -0.826129, -0.54837)","(0.474423, -0.683362, -0.554923)"
0.325241,"(-0.019151, 0.033143, 0.025564)","(0.117122, 0.991734, 0.052404)","(-0.601026, -0.792662, -0.102254)","(0.733071, -0.668151, -0.127207)","(-0.41152, 0.23996, 0.879244)","(0.098855, -0.597516, 0.79574)","(-0.265292, -0.828415, 0.493304)","(-0.0233, -0.984123, 0.175953)","(-0.008009, -0.822449, -0.568783)","(0.53083, -0.6444, -0.550426)"
0.404875,"(-0.023687, 0.024892, 0.026091)","(0.106065, 0.992824, 0.055232)","(-0.610109, -0.786962, -0.091967)","(0.755993, -0.633434, -0.165034)","(-0.423464, 0.280922, 0.861256)","(0.110068, -0.631743, 0.767323)","(-0.281521, -0.818432, 0.500914)","(-0.025475, -0.984261, 0.174874)","(0.03837, -0.817828, -0.574182)","(0.548939, -0.627444, -0.552251)"
0.430525,"(-0.041379, 0.006465, 0.026905)","(0.063238, 0.996074, 0.061945)","(-0.661873, -0.748042, -0.048558)","(0.850314, -0.430717, -0.302405)","(-0.445257, 0.414919, 0.793466)","(0.174162, -0.729134, 0.66184)","(-0.313117, -0.808126, 0.498888)","(-0.012303, -0.984328, 0.17592)","(0.129951, -0.805229, -0.578549)","(0.586789, -0.58829, -0.556411)"
