time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0,"(0, 0, 0)","(0.005211, 0.919371, 0.393357)","(-0.52031, -0.733721, -0.436957)","(0.263408, -0.373057, -0.889632)","(-0.263314, -0.920797, 0.287747)","(0.326049, -0.756058, 0.567511)","(0.095226, -0.963242, 0.25119)","(-0.042175, -0.534185, 0.844315)","(0.09191, -0.916095, -0.390284)","(0.017749, -0.239403, -0.970758)"
0.11018,"(-0.000038, 0.028857, -0.010327)","(-0.002132, 0.904605, 0.426246)","(-0.631024, -0.775429, -0.022776)","(0.235373, -0.150341, -0.960207)","(-0.194196, -0.609158, 0.768905)","(0.228452, -0.954392, 0.192211)","(0.093327, -0.976962, 0.191923)","(-0.067043, -0.18724, 0.980024)","(0.090787, -0.934539, -0.344086)","(0.018399, -0.872703, -0.487905)"
0.191292,"(-0.000032, -0.084948, -0.008953)","(-0.036356, 0.998041, 0.05091)","(-0.699585, -0.628625, 0.339723)","(0.314926, 0.10876, -0.942864)","(0.04107, 0.143144, 0.988849)","(0.211649, -0.829918, -0.51618)","(0.105814, -0.92746, -0.358638)","(-0.124101, -0.457689, 0.880409)","(0.073645, -0.675963, -0.733246)","(0.007986, -0.989083, 0.147141)"
0.266766,"(0.00002, -0.164607, 0.006023)","(-0.056775, 0.979706, -0.19223)","(-0.703872, -0.605321, 0.371687)","(0.342953, 0.145166, -0.928068)","(0.086009, 0.253596, 0.963479)","(0.256296, -0.694707, -0.672083)","(0.115048, -0.904377, -0.410934)","(-0.1421, -0.389227, 0.910115)","(0.066792, -0.527893, -0.84668)","(0.014903, -0.996849, 0.077907)"
0.337357,"(0.000111, -0.053541, 0.034322)","(-0.05558, 0.986244, -0.155673)","(-0.641233, -0.759721, 0.107905)","(0.40882, 0.04786, -0.911359)","(0.035842, -0.08142, 0.996035)","(0.249047, -0.711207, -0.657389)","(0.087909, -0.996039, -0.013354)","(-0.144831, -0.765272, 0.627203)","(0.051464, -0.262019, -0.96369)","(-0.009119, -0.922074, -0.386907)"
0.40139,"(-0.00003, 0.020529, 0.030005)","(-0.040586, 0.994469, 0.096875)","(-0.498553, -0.771301, -0.395652)","(0.507091, -0.143854, -0.849803)","(-0.002232, -0.60774, 0.794133)","(0.225544, -0.81252, -0.537533)","(0.00108, -0.843021, 0.537879)","(-0.126048, -0.979548, 0.156839)","(0.06418, -0.134234, -0.988869)","(-0.053137, -0.930029, -0.363625)"
0.491947,"(0.000012, 0.008602, 0.0052)","(-0.019168, 0.937045, 0.348683)","(-0.384915, -0.598199, -0.70285)","(0.586567, -0.329247, -0.739956)","(-0.022693, -0.864297, 0.50247)","(0.236647, -0.908903, -0.343357)","(-0.061419, -0.490844, 0.86908)","(-0.126951, -0.968451, 0.214442)","(0.084625, -0.30293, -0.949248)","(-0.056599, -0.93614, -0.347043)"
0.557407,"(0.000005, 0.027068, -0.010454)","(0.00588, 0.899997, 0.435856)","(-0.299492, -0.33328, -0.893996)","(0.661916, -0.625205, -0.413506)","(-0.156958, -0.975217, 0.155936)","(0.257237, -0.927052, 0.27277)","(-0.057157, -0.236834, 0.969867)","(-0.113689, -0.972596, 0.202812)","(0.09562, -0.827099, -0.553863)","(-0.064056, -0.948852, -0.309155)"
0.622845,"(-0.000066, 0.013281, -0.012057)","(0.026483, 0.96066, 0.276462)","(-0.247645, -0.100908, -0.963582)","(0.666419, -0.743799, 0.051463)","(-0.302488, -0.939938, -0.158171)","(0.178595, -0.443784, 0.878157)","(0.03796, -0.368326, 0.928921)","(-0.110118, -0.99365, 0.023093)","(0.03419, -0.997723, 0.058141)","(-0.064617, -0.844203, -0.532115)"
0.690113,"(-0.000027, -0.109084, -0.007742)","(0.046981, 0.998895, -0.00164)","(-0.208824, 0.057763, -0.976246)","(0.630771, -0.678079, 0.377275)","(-0.402131, -0.827968, -0.390845)","(0.090157, 0.161515, 0.982743)","(0.104532, -0.457431, 0.88308)","(-0.113656, -0.918056, -0.37981)","(0.007918, -0.993909, 0.109923)","(-0.059529, -0.645008, -0.761854)"
